series,family,outer_model,block_bits,dimension,message_exponent,message_bits,memory_bits,distance_cutoff,relative_distance_lower,q1_margin_bits_diagnostic,dominant_weight,dominant_log_surprisal
"random full-rank [64,32] reused",random,random,64,32,10,1024,12,205,0.10009765625,7.701406627542244,8,-3.0
"random full-rank [64,32] reused",random,random,64,32,11,2048,13,410,0.10009765625,6.795461572727883,8,-3.5
"random full-rank [64,32] reused",random,random,64,32,12,4096,14,820,0.10009765625,5.853716062818594,9,-4.5
"random full-rank [64,32] reused",random,random,64,32,13,8192,15,1639,0.10003662109375,4.942684090361359,8,-5.100000000000017
"random full-rank [64,32] reused",random,random,64,32,14,16384,16,3277,0.100006103515625,4.013099432812648,8,-5.800000000000015
"random full-rank [64,32] reused",random,random,64,32,15,32768,17,6554,0.100006103515625,3.0191059043730513,8,-6.500000000000012
"random full-rank [64,32] reused",random,random,64,32,16,65536,18,13108,0.100006103515625,2.0215812420689176,8,-7.20000000000001
"random full-rank [64,32] reused",random,random,64,32,17,131072,19,26215,0.10000228881835938,1.022793047796866,8,-7.9000000000000075
"random full-rank [64,32] reused",random,random,64,32,18,262144,20,52429,0.10000038146972656,0.02250303184414599,8,-8.600000000000005
"random full-rank [64,32] reused",random,random,64,32,19,524288,21,104858,0.10000038146972656,-0.979463398830189,8,-9.300000000000002
"random full-rank [64,32] reused",random,random,64,32,20,1048576,22,209716,0.10000038146972656,-2.006736133827441,8,-10.0
"random full-rank [128,64] reused",random,random,128,64,8,256,10,52,0.1015625,23.781904617291023,21,-1.0
"random full-rank [128,64] reused",random,random,128,64,9,512,11,103,0.1005859375,24.885346448197787,15,-2.0
"random full-rank [128,64] reused",random,random,128,64,10,1024,12,205,0.10009765625,24.767337547138574,17,-2.0
"random full-rank [128,64] reused",random,random,128,64,11,2048,13,410,0.10009765625,24.11835694437778,14,-3.0
"random full-rank [128,64] reused",random,random,128,64,12,4096,14,820,0.10009765625,23.291942082371563,15,-4.0
"random full-rank [128,64] reused",random,random,128,64,13,8192,15,1639,0.10003662109375,22.38848918239891,17,-4.5
"random full-rank [128,64] reused",random,random,128,64,14,16384,16,3277,0.100006103515625,21.56748359353783,15,-5.100000000000017
"random full-rank [128,64] reused",random,random,128,64,15,32768,17,6554,0.100006103515625,20.6696691935532,15,-5.800000000000015
"random full-rank [128,64] reused",random,random,128,64,16,65536,18,13108,0.100006103515625,19.681406692379205,15,-6.500000000000012
"random full-rank [128,64] reused",random,random,128,64,17,131072,19,26215,0.10000228881835938,18.689514242773964,15,-7.20000000000001
"random full-rank [128,64] reused",random,random,128,64,18,262144,20,52429,0.10000038146972656,17.694417826724358,15,-7.9000000000000075
"random full-rank [128,64] reused",random,random,128,64,19,524288,21,104858,0.10000038146972656,16.69741892370056,15,-8.600000000000005
"random full-rank [128,64] reused",random,random,128,64,20,1048576,22,209716,0.10000038146972656,15.69857053702691,15,-9.300000000000002
"random full-rank [256,128] reused",random,random,256,128,8,256,10,52,0.1015625,46.514169807040815,41,-0.5
"random full-rank [256,128] reused",random,random,256,128,9,512,11,103,0.1005859375,55.65514864819322,40,-1.0
"random full-rank [256,128] reused",random,random,256,128,10,1024,12,205,0.10009765625,58.393761963682444,30,-1.5
"random full-rank [256,128] reused",random,random,256,128,11,2048,13,410,0.10009765625,58.74522143835595,33,-2.0
"random full-rank [256,128] reused",random,random,256,128,12,4096,14,820,0.10009765625,58.48974245055654,26,-3.0
"random full-rank [256,128] reused",random,random,256,128,13,8192,15,1639,0.10003662109375,57.770008249338424,30,-3.5
"random full-rank [256,128] reused",random,random,256,128,14,16384,16,3277,0.100006103515625,56.99167070547248,33,-4.5
"random full-rank [256,128] reused",random,random,256,128,15,32768,17,6554,0.100006103515625,56.41068979828971,29,-5.100000000000017
"random full-rank [256,128] reused",random,random,256,128,16,65536,18,13108,0.100006103515625,55.53178329839847,29,-5.800000000000015
"random full-rank [256,128] reused",random,random,256,128,17,131072,19,26215,0.10000228881835938,54.55546885712948,29,-6.500000000000012
"random full-rank [256,128] reused",random,random,256,128,18,262144,20,52429,0.10000038146972656,53.56792383758081,29,-7.20000000000001
"random full-rank [256,128] reused",random,random,256,128,19,524288,21,104858,0.10000038146972656,52.57285617843095,29,-7.9000000000000075
"random full-rank [256,128] reused",random,random,256,128,20,1048576,22,209716,0.10000038146972656,51.57390306719041,29,-8.600000000000005
"random full-rank [512,256] reused",random,random,512,256,8,256,10,52,0.1015625,-0.5747845523080277,251,0.5
