series,family,outer_model,block_bits,dimension,message_exponent,message_bits,outer_rows,output_bits,bad_weight,state_bits,step_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,16,65536,8192,131072,13107,12,64,128,-10.029593565832444,2,-8.6
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,17,131072,16384,262144,26214,13,64,256,-11.018536042030219,2,-9.2
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,18,262144,32768,524288,52428,14,64,512,-12.011510405235292,2,-9.9
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,19,524288,65536,1048576,104857,15,64,1024,-13.007186807819593,2,-10.6
"random full-rank [16,8] reused",random,random-ensemble-average,16,8,20,1048576,131072,2097152,209715,16,64,2048,-14.012735425688177,2,-11.3
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,10,1024,64,2048,204,7,64,1,0.05083943696899814,4,-3.799999999999999
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,11,2048,128,4096,409,7,64,2,-0.8774517391075662,4,-4.5
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,12,4096,256,8192,819,8,64,4,-1.4025890816963114,4,-5.1
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,13,8192,512,16384,1638,9,64,8,-2.110219343163253,4,-5.8
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,14,16384,1024,32768,3276,10,64,16,-2.9398369791810914,4,-6.3999999999999995
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,15,32768,2048,65536,6553,11,64,32,-3.8503148926318307,4,-7.1
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,16,65536,4096,131072,13107,12,64,64,-4.801840410099897,4,-7.8
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,17,131072,8192,262144,26214,13,64,128,-5.77662667185063,3,-8.9
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,18,262144,16384,524288,52428,14,64,256,-6.7642261865634286,3,-9.6
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,19,524288,32768,1048576,104857,15,64,512,-7.757782432837914,3,-10.2
"random full-rank [32,16] reused",random,random-ensemble-average,32,16,20,1048576,65536,2097152,209715,16,64,1024,-8.754834901505763,3,-10.9
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,11,2048,64,4096,409,7,64,1,7.4923026778782615,9,-3.6999999999999993
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,12,4096,128,8192,819,8,64,2,7.565247750348779,8,-4.3999999999999995
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,13,8192,256,16384,1638,9,64,4,7.321464390195024,7,-5.199999999999999
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,14,16384,512,32768,3276,10,64,8,6.78808568067366,7,-5.8999999999999995
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,15,32768,1024,65536,6553,11,64,16,6.050372936656568,7,-6.6
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,16,65536,2048,131072,13107,12,64,32,5.190285434979081,7,-7.199999999999999
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,17,131072,4096,262144,26214,13,64,64,4.270057837166437,7,-7.8999999999999995
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,18,262144,8192,524288,52428,14,64,128,3.3121926939172264,7,-8.6
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,19,524288,16384,1048576,104857,15,64,256,2.332783949522897,7,-9.3
"random full-rank [64,32] reused",random,random-ensemble-average,64,32,20,1048576,32768,2097152,209715,16,64,512,1.3431757816439551,7,-10.0
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,12,4096,64,8192,819,8,64,1,24.513429854997952,16,-3.799999999999999
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,13,8192,128,16384,1638,9,64,2,25.194395721681225,15,-4.5
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,14,16384,256,32768,3276,10,64,4,25.364605309776,14,-5.199999999999999
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,15,32768,512,65536,6553,11,64,8,25.105075255979983,14,-5.8999999999999995
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,16,65536,1024,131072,13107,12,64,16,24.528929765827076,14,-6.5
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,17,131072,2048,262144,26214,13,64,32,23.784144714864716,13,-7.3
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,18,262144,4096,524288,52428,14,64,64,22.918096308012277,13,-8.0
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,19,524288,8192,1048576,104857,15,64,128,21.98514120178002,13,-8.7
"random full-rank [128,64] reused",random,random-ensemble-average,128,64,20,1048576,16384,2097152,209715,16,64,256,21.01743400244646,13,-9.4
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,13,8192,64,16384,1638,9,64,1,59.886922159903186,31,-3.6999999999999993
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,14,16384,128,32768,3276,10,64,2,61.39677519686983,29,-4.5
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,15,32768,256,65536,6553,11,64,4,62.16001629980406,28,-5.199999999999999
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,16,65536,512,131072,13107,12,64,8,62.318110593962565,28,-5.8999999999999995
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,17,131072,1024,262144,26214,13,64,16,62.043161760389054,27,-6.6
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,18,262144,2048,524288,52428,14,64,32,61.457780299174374,27,-7.3
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,19,524288,4096,1048576,104857,15,64,64,60.693324792592875,26,-8.0
"random full-rank [256,128] reused",random,random-ensemble-average,256,128,20,1048576,8192,2097152,209715,16,64,128,59.817348838763635,26,-8.7
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,14,16384,64,32768,3276,10,64,1,132.3929594714028,59,-3.799999999999999
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,15,32768,128,65536,6553,11,64,2,135.09138007432492,58,-4.5
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,16,65536,256,131072,13107,12,64,4,136.7255239691673,56,-5.199999999999999
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,17,131072,512,262144,26214,13,64,8,137.49952268072366,55,-5.8999999999999995
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,18,262144,1024,524288,52428,14,64,16,137.64690456158593,54,-6.6
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,19,524288,2048,1048576,104857,15,64,32,137.35167375940895,53,-7.3
"random full-rank [512,256] reused",random,random-ensemble-average,512,256,20,1048576,4096,2097152,209715,16,64,64,136.7611125101666,53,-8.0
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,15,32768,64,65536,6553,11,64,1,279.7997617673386,116,-3.799999999999999
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,16,65536,128,131072,13107,12,64,2,284.28684660435334,111,-4.5
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,17,131072,256,262144,26214,13,64,4,287.1858433489176,104,-5.199999999999999
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,18,262144,512,524288,52428,14,64,8,288.8377272908736,109,-5.8999999999999995
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,19,524288,1024,1048576,104857,15,64,16,289.5980945846916,108,-6.6
"random full-rank [1024,512] reused",random,random-ensemble-average,1024,512,20,1048576,2048,2097152,209715,16,64,32,289.7344656226655,107,-7.3
