series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,18,262144,524288,8192,52428,64,16,128,12.169147946756024,12,-7.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,16,1024,1.0145732355642376,4,-8.4,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,18,262144,524288,16384,52428,64,16,256,4.924357941117111,8,-7.5,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,18,262144,524288,4096,52428,64,16,64,12.510952745459905,16,-7.7,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,18,262144,524288,1024,52428,64,16,16,40.995509402562504,32,-7.2,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,18,262144,524288,8192,52428,64,16,128,3.44321773871233,7,-8.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,18,262144,524288,4096,52428,64,16,64,23.112946322970522,13,-8.0,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,18,262144,524288,1024,52428,64,16,16,138.7817038824185,51,-6.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,22,4194304,8388608,1048576,838860,64,16,16384,-3.5267042082488644,4,-11.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,22,4194304,8388608,262144,838860,64,16,4096,0.3975815486396306,8,-10.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,22,4194304,8388608,65536,838860,64,16,1024,29.924251640591766,22,-9.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,22,4194304,8388608,131072,838860,64,16,2048,7.665662836618042,12,-10.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,22,4194304,8388608,1048576,838860,64,16,16384,-3.5267042082488644,4,-11.1,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,22,4194304,8388608,262144,838860,64,16,4096,0.3975815486396306,8,-10.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,22,4194304,8388608,65536,838860,64,16,1024,7.974524627998436,16,-10.4,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,22,4194304,8388608,16384,838860,64,16,256,36.51436732375979,32,-10.0,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,22,4194304,8388608,131072,838860,64,16,2048,-1.1197365511625268,7,-11.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,22,4194304,8388608,65536,838860,64,16,1024,18.576304486961487,13,-10.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,22,4194304,8388608,16384,838860,64,16,256,134.33780789198963,52,-9.4,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,16,65536,-9.23888515518347,4,-12.0,1,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,16,16384,-3.313419188583183,8,-11.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,16,4096,26.19216747464085,22,-11.2,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,24,16777216,33554432,524288,3355443,64,16,8192,3.925698544589704,12,-11.7,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,24,16777216,33554432,4194304,3355443,64,16,65536,-9.23888515518347,4,-12.0,1,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,24,16777216,33554432,1048576,3355443,64,16,16384,-3.313419188583183,8,-11.6,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,24,16777216,33554432,262144,3355443,64,16,4096,4.260046585221534,16,-11.8,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,24,16777216,33554432,65536,3355443,64,16,1024,32.72937116584457,32,-11.3,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,24,16777216,33554432,524288,3355443,64,16,8192,-9.7455987415174,5,-12.0,1,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,24,16777216,33554432,262144,3355443,64,16,4096,13.583378940088314,6,-12.0,1,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,24,16777216,33554432,65536,3355443,64,16,1024,130.61071501284675,52,-10.7,0,16,6,0,nested-3beb4674c57a0302,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s16.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,18,262144,524288,65536,52428,64,18,1024,2.8001678818606397,4,-8.3,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_scaling_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
