k,N,parity_n,parity_extra,delta,d,sigma,offset,h,outer_source,outer_log2,outer_z,inner_log2,term_log2,cum_log2,best_r,best_piece_log2,survivor_only_sum
1048576,2097232,1048656,80,0.106,222306,80,60,344,gf,428.936588,0.40634819091,-759.439124,-330.502536,-40.991450,0,-759.439124,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,345,gf,430.235799,0.40634819091,-760.591690,-330.355891,-40.991450,0,-760.591690,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,346,gf,431.535011,0.40634819091,-762.738281,-331.203271,-40.991450,0,-762.738282,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,347,gf,432.834222,0.40634819091,-766.692235,-333.858012,-40.991450,0,-766.692235,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,348,gf,434.133434,0.40634819091,-772.510671,-338.377237,-40.991450,0,-772.510676,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,349,gf,435.432646,0.40634819091,-773.237370,-337.804724,-40.991450,0,-773.237372,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,350,gf,436.731857,0.40634819091,-773.575970,-336.844113,-40.991450,0,-773.575970,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,351,gf,438.031069,0.40634819091,-774.923069,-336.892000,-40.991450,0,-774.923070,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,352,gf,439.330281,0.40634819091,-776.049353,-336.719073,-40.991450,0,-776.049354,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,353,gf,440.629492,0.40634819091,-778.192666,-337.563174,-40.991450,0,-778.192667,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,354,gf,441.928704,0.40634819091,-782.114937,-340.186234,-40.991450,0,-782.114938,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,355,gf,443.227915,0.40634819091,-788.007998,-344.780082,-40.991450,0,-788.008006,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,356,gf,444.527127,0.40634819091,-788.776792,-344.249665,-40.991450,0,-788.776796,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,357,gf,445.826339,0.40634819091,-789.743318,-343.916979,-40.991450,0,-789.743319,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,358,gf,447.125550,0.40634819091,-791.292456,-344.166906,-40.991450,0,-791.292457,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,359,gf,448.424762,0.40634819091,-792.619826,-344.195064,-40.991450,0,-792.619827,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,360,gf,449.723974,0.40634819091,-793.716064,-343.992091,-40.991450,0,-793.716065,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,361,gf,451.023185,0.40634819091,-795.855624,-344.832439,-40.991450,0,-795.855625,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,362,gf,452.322397,0.40634819091,-799.741303,-347.418906,-40.991450,0,-799.741304,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,363,gf,453.621608,0.40634819091,-805.711596,-352.089988,-40.991450,0,-805.711614,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,364,gf,454.920820,0.40634819091,-806.536934,-351.616114,-40.991450,0,-806.536941,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,365,gf,456.220032,0.40634819091,-807.475469,-351.255437,-40.991450,0,-807.475472,blocked
1048576,2097232,1048656,80,0.106,222306,80,60,366,gf,457.519243,0.40634819091,-809.009793,-351.490549,-40.991450,0,-809.009795,blocked
