k,k_eff,N,delta,d,sigma,block_bits,blocks,d0,h,outer_log2,outer_z,inner_log2,term_log2,cum_log2
1048576,1048576,2097152,0.09,188743,32,256,4096,32,102,139.719271,0.364110441035,-252.042358,-112.323087,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,103,141.176823,0.364110441035,-254.485221,-113.308398,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,104,142.634375,0.364110441035,-256.925252,-114.290876,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,105,144.091927,0.364110441035,-259.362265,-115.270337,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,106,145.549479,0.364110441035,-261.796089,-116.246610,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,107,147.007031,0.364110441035,-264.226553,-117.219522,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,108,148.464583,0.364110441035,-266.653487,-118.188904,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,109,149.922135,0.364110441035,-269.076743,-119.154608,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,110,151.379687,0.364110441035,-271.496182,-120.116494,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,111,152.837239,0.364110441035,-273.911672,-121.074432,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,112,154.294791,0.364110441035,-276.323115,-122.028323,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,113,155.752343,0.364110441035,-278.730427,-122.978083,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,114,157.209895,0.364110441035,-281.133540,-123.923645,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,115,158.667447,0.364110441035,-283.532425,-124.864978,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,116,160.124999,0.364110441035,-285.927069,-125.802070,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,117,161.582551,0.364110441035,-288.317482,-126.734931,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,118,163.040103,0.364110441035,-290.703708,-127.663605,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,119,164.497655,0.364110441035,-293.085812,-128.588157,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,120,165.955207,0.364110441035,-295.463875,-129.508668,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,121,167.412759,0.364110441035,-297.838011,-130.425252,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,122,168.870311,0.364110441035,-300.208346,-131.338035,-40.520728
1048576,1048576,2097152,0.09,188743,32,256,4096,32,123,170.327863,0.364110441035,-302.575018,-132.247155,-40.520728
