outer_weight,aggregate_log2,peak_first_r,peak_remaining_ones,peak_gap_min,peak_gap_max,peak_inner_mode,peak_outer_log2_bound,peak_placement_log2,peak_inner_log2,peak_best_lambda,peak_best_alpha,peak_best_rho,peak_term_log2
1039,-391.3085624642855,1,1038,1,4000,cap,1396.2739688694298,-1787.6574055621204,0.0,nan,nan,nan,-391.38343669269057
1040,-391.6936576443208,1,1039,1,4000,cap,1397.610178472439,-1789.378783624703,0.0,nan,nan,nan,-391.76860515226394
1041,-392.0787540807328,1,1040,1,4000,cap,1398.9463880754479,-1791.1001632649986,0.0,nan,nan,nan,-392.15377518955074
1042,-392.46385158952916,1,1041,1,4000,cap,1400.282597678457,-1792.8215444953312,0.0,nan,nan,nan,-392.53894681687416
1043,-392.84894984734126,1,1042,1,4000,cap,1401.6188072814662,-1794.542927310029,0.0,nan,nan,nan,-392.9241200285628
1044,-393.2340483333442,1,1043,1,4000,cap,1402.955016884475,-1796.2643117024436,0.0,nan,nan,nan,-393.3092948179685
1045,-393.6191462193801,1,1044,1,4000,cap,1404.2912264874842,-1797.9856976782867,0.0,nan,nan,nan,-393.69447119080246
1046,-394.00424215387176,1,1045,1,4000,cap,1405.6274360904931,-1799.7070852382985,0.0,nan,nan,nan,-394.0796491478054
1047,-394.38933393194264,1,1046,1,4000,cap,1406.9636456935023,-1801.4284743735898,0.0,nan,nan,nan,-394.4648286800875
1048,-394.7744179982937,1,1047,1,4000,cap,1408.2998552965112,-1803.1498650983667,0.0,nan,nan,nan,-394.85000980185555
1049,-395.1594885483599,1,1048,1,4000,cap,1409.6360648995203,-1804.8712574143738,0.0,nan,nan,nan,-395.23519251485345
1050,-395.5445361020981,1,1049,1,4000,cap,1410.9722745025292,-1806.5926512962924,0.0,nan,nan,nan,-395.62037679376317
1051,-395.92954527334166,1,1050,1,4000,cap,1412.3084841055384,-1808.3140467659978,0.0,nan,nan,nan,-396.0055626604594
1052,-396.3144909254994,1,1051,1,4000,cap,1413.6446937085473,-1810.035443819157,0.0,nan,nan,nan,-396.3907501106098
1053,-396.69933203168364,1,1052,1,4000,cap,1414.9809033115564,-1811.7568424534784,0.0,nan,nan,nan,-396.775939141922
1054,-397.0840015897719,1,1053,1,4000,cap,1416.3171129145655,-1813.478242679681,0.0,nan,nan,nan,-397.16112976511545
1055,-397.4683900563844,1,1054,1,4000,cap,1417.6533225175745,-1815.1996444759843,0.0,nan,nan,nan,-397.54632195840986
1056,-397.85231840471073,1,1055,1,4000,cap,1418.9895321205836,-1816.9210478592213,0.0,nan,nan,nan,-397.9315157386377
1057,-398.235493980216,1,1056,1,4000,cap,1420.3257417235925,-1818.6424528246134,0.0,nan,nan,nan,-398.3167111010209
1058,-398.6174388521098,1,1057,1,4000,cap,1421.6619513266016,-1820.3638593767573,0.0,nan,nan,nan,-398.7019080501557
1059,-398.9973740318797,1,1058,1,4000,cap,1422.9981609296105,-1822.0852675115912,0.0,nan,nan,nan,-399.0871065819806
1060,-399.3740347125195,1,1059,1,4000,cap,1424.3343705326197,-1823.8066772275106,0.0,nan,nan,nan,-399.4723066948909
1061,-399.745381298468,1,1060,1,4000,cap,1425.6705801356286,-1825.5280885240372,0.0,nan,nan,nan,-399.85750838840863
1062,-400.10816320491165,1,1061,1,4000,cap,1427.0067897386377,-1827.249501403865,0.0,nan,nan,nan,-400.24271166522726
1063,-400.4573006605744,1,1062,1,4000,cap,1428.3429993416469,-1828.9709158679252,0.0,nan,nan,nan,-400.62791652627834
1064,-400.78510758803003,1,1063,1,4000,cap,1429.6792089446558,-1830.6923319065936,0.0,nan,nan,nan,-401.0131229619378
1065,-401.080546156725,1,1064,1,4000,cap,1431.015418547665,-1832.4137495368504,0.0,nan,nan,nan,-401.3983309891855
1066,-401.3290324058529,1,1065,1,4000,cap,1432.3516281506738,-1834.1351687493534,0.0,nan,nan,nan,-401.78354059867956
1067,-401.5136854962788,1,1066,1,4000,cap,1433.687837753683,-1835.8565895367537,0.0,nan,nan,nan,-402.1687517830708
1068,-401.61877857595357,1,1067,1,4000,cap,1435.0240473566919,-1837.5780119163082,0.0,nan,nan,nan,-402.55396455961636
1069,-401.63475170594353,1,1068,4001,8000,eallratio,1436.360256959701,-1317.7275216815833,-521.1176582183201,0.003,nan,0.003,-402.4849229402024
1070,-401.56204142064536,1,1069,4001,8000,eallratio,1437.69646656271,-1318.9606922315288,-520.8816835407546,0.003,nan,0.003,-402.14590920957346
1071,-401.41085582265544,1,1070,4001,8000,eallratio,1439.032676165719,-1320.1938637019848,-520.6443589128443,0.003,nan,0.003,-401.80554644911
1072,-401.19708019298434,1,1071,4001,8000,eallratio,1440.3688857687282,-1321.4270361085037,-520.4056855911941,0.003,nan,0.003,-401.4638359309696
1073,-400.9373296974363,1,1072,4001,8000,eallratio,1441.7050953717371,-1322.6602094371356,-520.165664831074,0.003,nan,0.003,-401.1207788964724
1074,-400.64572403903543,1,1073,4001,8000,eallratio,1443.0413049747463,-1323.89338370955,-519.9242978891092,0.003,nan,0.003,-400.77637662391305
1075,-400.33282580198386,1,1074,4001,8000,eallratio,1444.3775145777552,-1325.1265589000323,-519.681586011183,0.003,nan,0.003,-400.43063033346004
1076,-400.0059245717435,1,1075,4001,8000,eallratio,1445.7137241807643,-1326.3597350333075,-519.4375304472065,0.003,nan,0.003,-400.08354129974975
1077,-399.6698014319926,1,1076,4001,8000,eallratio,1447.0499337837732,-1327.5929120901965,-519.1921324444153,0.003,nan,0.003,-399.73511075083854
1078,-399.3274937553314,1,1077,4001,8000,eallratio,1448.3861433867824,-1328.8260900757214,-518.945393247367,0.003,nan,0.003,-399.38533993630597
1079,-398.9808930853034,1,1078,4001,8000,eallratio,1449.7223529897913,-1330.0592689941823,-518.6973140939091,0.003,nan,0.003,-399.0342300983001
1080,-398.63116284984085,1,1079,4001,8000,eallratio,1451.0585625928004,-1331.2924488404096,-518.4478962259142,0.003,nan,0.003,-398.6817824735234
1081,-398.2790131249557,1,1080,4001,8000,eallratio,1452.3947721958095,-1332.525629619604,-518.1971408799028,0.003,nan,0.003,-398.3279983036972
1082,-397.9248752114589,1,1081,4001,8000,eallratio,1453.7309817988184,-1333.7588113200873,-517.9450492923924,0.003,nan,0.003,-397.97287881366117
1083,-397.56901038615285,1,1082,4001,8000,eallratio,1455.0671914018276,-1334.9919939661613,-517.6916226904999,0.003,nan,0.003,-397.61642525483364
1084,-397.2115766810076,1,1083,4001,8000,eallratio,1456.4034010048365,-1336.22517753564,-517.436862308074,0.003,nan,0.003,-397.25863883887735
1085,-396.8526697234261,1,1084,4001,8000,eallratio,1457.7396106078456,-1337.4583620278827,-517.1807693722479,0.003,nan,0.003,-396.899520792285
1086,-396.49234749290946,1,1085,4001,8000,eallratio,1459.0758202108545,-1338.6915474559264,-516.9233451088172,0.003,nan,0.003,-396.5390723538891
1087,-396.13064527294335,1,1086,4001,8000,eallratio,1460.4120298138637,-1339.9247338200148,-516.6645907395476,0.003,nan,0.003,-396.17729474569876
1088,-395.7675847025586,1,1087,4001,8000,eallratio,1461.7482394168726,-1341.1579211134176,-516.4045074862237,0.003,nan,0.003,-395.8141891827687
1089,-395.4031792300474,1,1088,4001,8000,eallratio,1463.0844490198817,-1342.391109330887,-516.1430965692824,0.003,nan,0.003,-395.44975688028774
1090,-395.0374374032606,1,1089,4001,8000,eallratio,1464.4206586228906,-1343.6242984860346,-515.8803592024539,0.003,nan,0.003,-395.0839990655978
1091,-394.6703648014158,1,1090,4001,8000,eallratio,1465.7568682258998,-1344.857488565769,-515.6162966021567,0.003,nan,0.003,-394.71691694202593
1092,-394.30196526366285,1,1091,4001,8000,eallratio,1467.093077828909,-1346.0906795848005,-515.3509099794445,0.003,nan,0.003,-394.34851173533605
1093,-393.93224154306597,1,1092,4001,8000,eallratio,1468.4292874319178,-1347.3238715258321,-515.0842005453827,0.003,nan,0.003,-393.97878463929703
1094,-393.56119577981184,1,1093,4001,8000,eallratio,1469.765497034927,-1348.5570643939081,-514.8161695056523,0.003,nan,0.003,-393.60773686463347
1095,-393.1888297435354,1,1094,4001,8000,eallratio,1471.1017066379359,-1349.7902581992403,-514.5468180659578,0.003,nan,0.003,-393.23536962726223
1096,-392.81514495934545,1,1095,4001,8000,eallratio,1472.437916240945,-1351.0234529334502,-514.2761474306577,0.003,nan,0.003,-392.86168412316295
1097,-392.44014282931926,1,1096,4001,8000,eallratio,1473.774125843954,-1352.2566486011565,-514.00415880143,0.003,nan,0.003,-392.48668155863254
1098,-392.06382465758014,1,1097,4001,8000,eallratio,1475.110335446963,-1353.4898451936624,-513.7308533745801,0.003,nan,0.003,-392.1103631212794
1099,-391.68619171994925,1,1098,4001,8000,eallratio,1476.446545049972,-1354.723042719068,-513.4562323491199,0.003,nan,0.003,-391.7327300182159
1100,-391.30724524355026,1,1099,4001,8000,eallratio,1477.782754652981,-1355.9562411711722,-513.1802969173342,0.003,nan,0.003,-391.3537834355253
1101,-390.92698645509785,1,1100,4001,8000,eallratio,1479.1189642559902,-1357.1894405576713,-512.9030482742079,0.003,nan,0.003,-390.973524575889
1102,-390.5454165554164,1,1101,4001,8000,eallratio,1480.4551738589992,-1358.4226408777813,-512.6244876066706,0.003,nan,0.003,-390.5919546254528
1103,-390.1625367364782,1,1102,4001,8000,eallratio,1481.7913834620083,-1359.6558421258196,-512.3446161043422,0.003,nan,0.003,-390.2090747681535
1104,-389.7783481873383,1,1103,4001,8000,eallratio,1483.1275930650172,-1360.889044298554,-512.0634349541684,0.003,nan,0.003,-389.82488618770515
1105,-389.3928521025428,1,1104,4001,8000,eallratio,1484.4638026680263,-1362.1222474060887,-511.78094533771457,0.003,nan,0.003,-389.43939007577694
1106,-389.0060496672083,1,1105,4001,8000,eallratio,1485.8000122710353,-1363.3554514477892,-511.4971484392503,0.003,nan,0.003,-389.0525876160042
1107,-388.61794205453083,1,1106,4001,8000,eallratio,1487.1362218740444,-1364.5886564179073,-511.2120454363252,0.003,nan,0.003,-388.66447998018805
1108,-388.2285304381133,1,1107,4001,8000,eallratio,1488.4724314770533,-1365.8218623159464,-510.9256375024662,0.003,nan,0.003,-388.2750683413593
1109,-387.83781600150735,1,1108,4001,8000,eallratio,1489.8086410800624,-1367.05506914133,-510.63792582195845,0.003,nan,0.003,-387.884353883226
1110,-387.44579992004077,1,1109,4001,8000,eallratio,1491.1448506830716,-1368.2882769042444,-510.34891155893536,0.003,nan,0.003,-387.4923377801082
1111,-387.05248335752174,1,1110,4001,8000,eallratio,1492.4810602860805,-1369.521485592837,-510.05859588962664,0.003,nan,0.003,-387.0990211963832
1112,-386.6578674906969,1,1111,4001,8000,eallratio,1493.8172698890896,-1370.7546952153189,-509.7669799822103,0.003,nan,0.003,-386.7044053084395
1113,-386.2619534813986,1,1112,4001,8000,eallratio,1495.1534794920985,-1371.987905770542,-509.4740649994916,0.003,nan,0.003,-386.3084912779351
1114,-385.8647424828727,1,1113,4001,8000,eallratio,1496.4896890951077,-1373.2211172424413,-509.17985211100665,0.003,nan,0.003,-385.9112802583403
