file,n,cut,delta,q1,s,pairs,q_s,late_base,corr,beta_nat,beta_bits,pred_beta_nat,pred_beta_bits
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,5,10.0,0.00019041556995509133,0.00011696201284881942,1.6280120811636094,0.0487359688414982,0.07031114056054849,0.05169447522702589,0.07457936305138763
enum_WC16_WC128.128.16.txt,128,13,0.1015625,0.20312190252215404,6,15.0,2.8212538509975778e-05,1.2769790528948808e-05,2.2093188174088394,0.05284561604006755,0.07624010819372772,0.05169447522702589,0.07457936305138763
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,2,1.0,0.04552400445683041,0.043869516310461196,1.0377138451826213,0.037020067722436406,0.05340866811653259,0.046011071020406843,0.06637994398713085
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,3,3.0,0.008984758082146316,0.007987711213517665,1.12482259836101,0.03920844429206161,0.056565828141128476,0.046011071020406843,0.06637994398713085
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,4,6.0,0.0016763066853370003,0.0013052843378777521,1.284246379652796,0.04169534522084911,0.06015366777827236,0.046011071020406843,0.06637994398713085
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,5,10.0,0.0002948794084616109,0.00018878079266826994,1.562020183800054,0.0445979973101009,0.0643413095528619,0.046011071020406843,0.06637994398713085
enum_WC16_WC128.128.16.txt,128,14,0.109375,0.2187466642546274,6,15.0,4.8819125692852124e-05,2.375556620458859e-05,2.0550604970814077,0.048020352432262325,0.06927872431576514,0.046011071020406843,0.06637994398713085
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,2,1.0,0.05252503098222012,0.05074365704286964,1.0351053519427171,0.03450321085378634,0.04977761119350381,0.0403276668137878,0.05818052492287408
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,3,3.0,0.01122697951179881,0.010064516129032258,1.1155011694415484,0.036434594415428824,0.052564008679939885,0.0403276668137878,0.05818052492287408
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,4,6.0,0.00228293823804707,0.0018108885478066838,1.2606729667665768,0.03860761316513619,0.05569901205390144,0.0403276668137878,0.05818052492287408
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,5,10.0,0.0004407244777141098,0.0002921607505580368,1.508499950360585,0.041111574671050484,0.05931146490106085,0.0403276668137878,0.05818052492287408
enum_WC16_WC128.128.16.txt,128,15,0.1171875,0.2343714259871008,6,15.0,8.065812885970428e-05,4.167643193787472e-05,1.9353415133986975,0.04401892024141626,0.06350587793757805,0.0403276668137878,0.05818052492287408
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,2,1.0,0.0600259626561384,0.05811773528308961,1.0328338219607816,0.03230630784599253,0.046608150118845636,0.034644262607168755,0.049981105858617314
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,3,3.0,0.013813655091991265,0.012473118279569893,1.107474072030334,0.03402727046793791,0.0490909743590815,0.034644262607168755,0.049981105858617314
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,4,6.0,0.003040650178952011,0.002450735834698379,1.2407090702724535,0.03594717450814323,0.0518608103968684,0.034644262607168755,0.049981105858617314
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,5,10.0,0.0006391728162203678,0.0004365089474740629,1.4642834240146865,0.03813659924403495,0.055019482605739016,0.034644262607168755,0.049981105858617314
enum_WC16_WC128.128.16.txt,128,16,0.125,0.2499961877195742,6,15.0,0.0001281624898518129,6.965917909616203e-05,1.8398507061774172,0.040645628692131806,0.05863924694795272,0.034644262607168755,0.049981105858617314
