H,e0_log2,e1_log2,e2_log2,e3_log2,e4_log2,e5_log2,e6_log2,e7_log2,e8_log2,total_log2
176,-78398.74165634377,-188.67405163048105,-239.22739942346303,-291.381085227389,-344.55023371376234,-398.4718984363435,-452.99416505095263,-508.01758742458725,-563.471866562019,-188.67405163048105
177,-78398.74165634377,-189.41733071474565,-239.95464116609574,-292.09219910170276,-345.2451282440408,-399.15048118612503,-453.6563426113509,-508.6632654026777,-564.100949569311,-189.41733071474565
178,-78398.74165634377,-190.16065516668095,-240.68201962175183,-292.8035420406738,-345.9403452122832,-399.8294807844677,-454.3190324840402,-509.3095522259813,-564.7307390402094,-190.16065516668095
179,-78398.74165634377,-190.90402447430543,-241.40953325904417,-293.5151114768331,-346.63588099793145,-400.50889254038134,-454.9822288899144,-509.9564410092468,-565.3612269649345,-190.90402447430543
180,-78398.74165634377,-191.64743814294246,-242.1371805808597,-294.226904894322,-347.33173204974975,-401.1887118502936,-455.64592615577294,-510.6039249920203,-565.9924054778094,-191.64743814294246
181,-78398.74165634377,-192.39089567853839,-242.86496010730397,-294.938919811452,-348.02789486798866,-401.8689341798092,-456.3101186956659,-511.2519975195601,-566.6242668377338,-192.39089567853839
182,-78398.74165634377,-193.1343965967015,-243.59287038437577,-295.6511537890059,-348.72436601230226,-402.54955507123185,-456.9748010180122,-511.90065204954203,-567.2568034344615,-193.1343965967015
183,-78398.74165634377,-193.87794042118014,-244.32090998208972,-296.36360442799594,-349.42114209913416,-403.2305701405685,-457.63996772220685,-512.549882148264,-567.8900077843921,-193.87794042118014
184,-78398.74165634377,-194.6215266838644,-245.04907749413297,-297.076269368966,-350.11821980065645,-403.91197507609525,-458.30561349680545,-513.1996814884369,-568.5238725279593,-194.6215266838644
185,-78398.74165634377,-195.36515492630346,-245.77737153904806,-297.7891462928306,-350.8155958452535,-404.5937656384778,-458.9717331192746,-513.8500438485531,-569.1583904286064,-195.36515492630346
186,-78398.74165634377,-196.1088246946792,-246.50579075488045,-298.5022329151889,-351.5132670114926,-405.27593765438866,-459.63832144924635,-514.5009631057703,-569.7935543652897,-196.1088246946792
187,-78398.74165634377,-196.85253554166349,-247.23433380071836,-299.2155269875382,-352.2112301290038,-405.95848701704466,-460.3053734287029,-515.1524332357334,-570.4293573319316,-196.85253554166349
188,-78398.74165634377,-197.59628702843605,-247.96299935840045,-299.92902629866296,-352.9094820795453,-406.64140968693835,-460.97288408236557,-515.8044483126126,-571.0657924370962,-197.59628702843605
189,-78398.74165634377,-198.34007872551874,-248.69178613304854,-300.64272867485977,-353.6080197969097,-407.32470169142124,-461.6408485169443,-516.457002508011,-571.7028529025459,-198.34007872551874
190,-78398.74165634377,-199.08391020435465,-249.42069284435473,-301.3566319709232,-354.306840257602,-408.008359115064,-462.30926191117527,-517.1100900806711,-572.3405320526066,-199.08391020435465
191,-78398.74165634377,-199.8277810478501,-250.1497182368377,-302.07073408011075,-355.0059404905032,-408.69237810901217,-462.9781195248599,-517.7637053851888,-572.9788233225516,-199.8277810478501
192,-78398.74165634377,-200.5716908462812,-250.87886107547047,-302.78503292948443,-355.7053175719216,-409.3767548857373,-463.64741669330857,-518.4178428661438,-573.617720252408,-200.5716908462812
193,-78398.74165634377,-201.31563918931067,-251.60812013742643,-303.4995264713794,-356.4049686167755,-410.0614857099291,-464.3171488179339,-519.0724970483836,-574.2572164769268,-201.31563918931067
194,-78398.74165634377,-202.05962568366962,-252.33749422949748,-304.2142127005519,-357.1048907954637,-410.7465669150812,-464.9873113825454,-519.7276625530202,-574.8973057412727,-202.05962568366962
195,-78398.74165634377,-202.80364992932758,-253.0669821640067,-304.92908962982796,-357.80508130924477,-411.43199487859346,-465.65789992816764,-520.3833340719581,-575.5379818752544,-202.80364992932758
196,-78398.74165634377,-203.5477115441549,-253.79658278322228,-305.64415531425965,-358.50553741412955,-412.11776604539523,-466.3289100763868,-521.0395063909568,-576.1792388160975,-203.5477115441549
197,-78398.74165634377,-204.29181014438078,-254.5262949395687,-306.3594078310872,-359.2062564005876,-412.80387690738775,-467.0003375085251,-521.6961743685313,-576.8210705870586,-204.29181014438078
198,-78398.74165634377,-205.0359453547336,-255.25611750552886,-307.07484528939693,-359.90723560295527,-413.4903240125963,-467.67217797453003,-522.3533329445703,-577.4634713057721,-205.0359453547336
199,-78398.74165634377,-205.78011680526376,-255.98604937023555,-307.79046582647413,-360.6084723955445,-414.1771039610313,-468.3444272885793,-523.0109771356802,-578.1064351793244,-205.78011680526376
200,-78398.74165634377,-206.5243241323162,-256.71608944021807,-308.5062676083194,-361.3099641929209,-414.86421340472253,-469.01708132886546,-523.6691020347131,-578.7499565035224,-206.5243241323162
201,-78398.74165634377,-207.26856697693302,-257.44623663758347,-309.22224882760304,-362.01170844762714,-415.55164904520433,-469.69013603483893,-524.3277028077645,-579.3940296596329,-207.26856697693302
202,-78398.74165634377,-208.0128449820234,-258.1764898969713,-309.9384077003992,-362.713702646692,-416.2394076297943,-470.36358740324965,-524.9867746899689,-580.0386491099333,-208.0128449820234
203,-78398.74165634377,-208.75715780173329,-258.9068481747144,-310.6547424751324,-363.41594432035635,-416.9274859600934,-471.0374314964169,-525.6463129935347,-580.683809405502,-208.75715780173329
204,-78398.74165634377,-209.50150509211403,-259.6373104393027,-311.3712514228312,-364.11843103211265,-417.61588088180554,-471.7116644318238,-526.306313097108,-581.3295051753465,-209.50150509211403
205,-78398.74165634377,-210.24588651533168,-260.367875675391,-312.08793284093156,-364.82116038229987,-418.3045892881184,-472.3862823852781,-526.9667704487099,-581.9757311291107,-210.24588651533168
206,-78398.74165634377,-210.9903017359157,-261.09854287985377,-312.8047850491313,-365.52413000375185,-418.9936081151438,-473.06128158613933,-527.6276805607416,-582.6224820518582,-210.9903017359157
207,-78398.74165634377,-211.73475042785356,-261.82931106868926,-313.52180639610026,-366.2273375683081,-419.6829343482232,-473.73665832341567,-528.2890390158714,-583.2697528097368,-211.73475042785356
208,-78398.74165634377,-212.47923226163286,-262.56017926387625,-314.23899524614706,-366.93078077328585,-420.3725650082016,-474.41240893183266,-528.950841452893,-583.9175383356263,-212.47923226163286
209,-78398.74165634377,-213.22374692496035,-263.2911465139117,-314.9563499995714,-367.6344573616441,-421.0624971713959,-475.0885298116038,-529.6130835862932,-584.5658336484964,-213.22374692496035
210,-78398.74165634377,-213.96829409789964,-264.0222118687713,-315.6738690674431,-368.3383650965767,-421.75272794399956,-475.76501740264115,-530.2757611802623,-585.2146338272157,-213.96829409789964
211,-78398.74165634377,-214.71287347108577,-264.7533743979521,-316.3915508894682,-369.0425017791978,-422.44325447958266,-476.4418682018664,-530.9388700658128,-585.8639340274698,-214.71287347108577
212,-78398.74165634377,-215.45748473984904,-265.4846331844272,-317.10939392777146,-369.7468652421474,-423.1340739725178,-477.1190787564509,-531.6024061338306,-586.5137294746207,-215.45748473984904
213,-78398.74165634377,-216.20212759976326,-266.2159873200288,-317.8273966621107,-370.4514533446343,-423.82518365284517,-477.7966456585024,-532.2663653295776,-587.1640154580206,-216.20212759976326
214,-78398.74165634377,-216.9468017557195,-266.94743591436054,-318.54555759862455,-371.1562639810147,-424.51658079468115,-478.47456555329535,-532.930743660741,-587.814787338877,-216.9468017557195
215,-78398.74165634377,-217.6915069136109,-267.6789780863267,-319.26387526119987,-371.8612950719956,-425.20826270725166,-479.15283513013446,-533.5955371881221,-588.4660405407612,-217.6915069136109
216,-78398.74165634377,-218.43624278150142,-268.41061296514636,-319.98234819232965,-372.56654456533164,-425.9002267354259,-479.83145112271995,-534.2607420258287,-589.1177705496265,-218.43624278150142
217,-78398.74165634377,-219.18100907759418,-269.14233969817195,-320.70097496077966,-373.2720104433351,-426.59247026706504,-480.5104103163313,-534.9263543482926,-589.769972920653,-219.18100907759418
218,-78398.74165634377,-219.9258055194633,-269.8741574399753,-321.419754150523,-373.977690711658,-427.2849907216485,-481.1897095362938,-535.5923703785722,-590.4226432663831,-219.9258055194633
219,-78398.74165634377,-220.67063182679476,-270.6060653549449,-322.13868436319206,-374.683583401594,-427.97778555242337,-481.8693456499717,-536.2587863901826,-591.0757772583894,-220.67063182679476
220,-78398.74165634377,-221.41548772957873,-271.3380626253382,-322.85776422598775,-375.3896865778413,-428.67085225401706,-482.5493155742288,-536.9255987144046,-591.7293706344204,-221.41548772957873
221,-78398.74165634377,-222.16037295218518,-272.0701484352198,-323.57699237547723,-376.0959983221582,-429.3641883459473,-483.22961625878827,-537.5928037234895,-592.3834191814532,-222.16037295218518
222,-78398.74165634377,-222.9052872324436,-272.80232198940786,-324.296367476403,-376.8025167520319,-430.0577913911483,-483.91024470461383,-538.2603978488926,-593.037918753772,-222.9052872324436
223,-78398.74165634377,-223.65023030720022,-273.5345824989008,-325.01588820697685,-377.50924000583564,-430.75165898098777,-484.59119794878404,-538.9283775660006,-593.6928652575491,-223.65023030720022
224,-78398.74165634377,-224.39520191406493,-274.2669291824968,-325.7355532603681,-378.2161662441841,-431.4457887364861,-485.2724730655717,-539.5967393950691,-594.3482546516366,-224.39520191406493
225,-78398.74165634377,-225.14020179859614,-274.9993612738538,-326.45536135163826,-378.9232936567365,-432.14017831498614,-485.95406717297766,-540.2654799076178,-595.0040829538175,-225.14020179859614
226,-78398.74165634377,-225.88522970811596,-275.7318780151816,-327.1753112113067,-379.6306204556372,-432.83482540346375,-486.63597742590736,-540.9345957194694,-595.6603462337076,-225.88522970811596
227,-78398.74165634377,-226.63028539230297,-276.4644786577151,-327.89540158570213,-380.3381448757404,-433.5297277186258,-487.31820101614,-541.6040834905868,-596.3170406124555,-226.63028539230297
228,-78398.74165634377,-227.37536860519126,-277.19716246359684,-328.6156312387241,-381.04586517625074,-434.2248830084264,-488.0007351737176,-542.273939926332,-596.9741622638683,-227.37536860519126
229,-78398.74165634377,-228.12047910454024,-277.9299287051328,-329.33599895098354,-381.75377963974336,-434.9202890509641,-488.68357716571745,-542.9441617761125,-597.6317074129298,-228.12047910454024
230,-78398.74165634377,-228.86561664991856,-278.6627766627645,-330.05650351766025,-382.4618865699059,-435.61594365210357,-489.36672429375284,-543.6147458307572,-598.2896723330489,-228.86561664991856
231,-78398.74165634377,-229.61078100487694,-279.3957056271316,-330.7771437504547,-383.1701842933757,-436.3118446471983,-490.0501738955743,-544.285688923997,-598.9480533474167,-229.61078100487694
232,-78398.74165634377,-230.35597193514639,-280.12871489716315,-331.49791847556924,-383.8786711576098,-437.00798989884595,-490.7339233427104,-544.9569879299839,-599.6068468264041,-230.35597193514639
233,-78398.74165634377,-231.10118920957322,-280.8618037809087,-332.2188265344316,-384.5873455314986,-437.70437729739155,-491.4179700408568,-545.6286397635664,-600.2660491877167,-231.10118920957322
234,-78398.74165634377,-231.84643260245838,-281.5949715977743,-332.9398667858275,-385.2962058073917,-438.4010047628426,-492.10231143168085,-546.3006413819795,-600.9256568979705,-231.84643260245838
235,-78398.74165634377,-232.5917018865361,-282.32821767140126,-333.6610380986764,-386.00525039376924,-439.0978702374341,-492.78694498527676,-546.972989777189,-601.5856664649217,-232.5917018865361
236,-78398.74165634377,-233.33699684213317,-283.06154133872656,-334.3823393609909,-386.7144777240998,-439.79497169438224,-493.4718682088125,-547.6456819844285,-602.2460744458934,-233.33699684213317
237,-78398.74165634377,-234.08231724756345,-283.7949419402815,-335.1037694700783,-387.42388624694,-440.4923071278823,-494.1570786364236,-548.3187150719879,-602.9068774374548,-234.08231724756345
238,-78398.74165634377,-234.82766288703934,-284.52841882800976,-335.82532734026154,-388.13347443355883,-441.18987456063144,-494.8425738366339,-548.9920861485292,-603.5680720826311,-234.82766288703934
