power,k,sigma,c,delta,n,w_out_log2,h0,s_tiny_log2,s_low_log2,gap_worst,gap_eta,s_lin_log2,s_top_log2,total_log2,h_cap,h_small_log2,h_tail_log2,h_total_log2,r_small_log2,r_total_log2,a_stop_h,a_peak_h,a_peak_log2,a_small_log2,a_tail_log2,a_total_log2,l_stop_h,l_peak_h,l_peak_log2,l_tail_log2,l_total_log2,q_single,q_peak_h,q_peak_log2,q_total_log2,m_gamma,m_peak_h,m_peak_log2,m_total_log2,m0_gamma,m0_peak_h,m0_peak_log2,m0_total_log2,b_opt_log2,b_ctr_log2,b_pess_log2
18,262144,22,4,0.12,524310.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.62489403832,-219781.99446644454,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,6.0,-2.3531818497363375,-inf,0.4458373170599434,0.24,13.0,-0.7043838821930315,3.5161931128611568,0.04268188040000001,5.0,-1.5932202078791278,0.9404816694491723,0.048,5.0,-1.6699386082262837,0.8004836298633399,0.4458373170599434,0.9404816694491723,3.5161931128611568
18,262144,23,5,0.12,524311.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.76209932605,-219782.41367330865,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-6.416418249536987,-inf,-4.937374015907241,0.24,6.0,-1.6547215374380393,2.06303033816416,0.04268188040000001,5.0,-2.3788571311722517,0.03244661112351522,0.048,5.0,-2.4555755315305596,-0.09375421908322791,-4.937374015907241,0.03244661112351522,2.06303033816416
18,262144,24,6,0.12,524312.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71919.8993006666,-219782.83288017273,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,4.0,-10.073570314955688,-38.95720538209847,-8.412422667974697,0.24,6.0,-2.400137934529665,0.8886534691868792,0.04268188040000001,5.0,-3.155698697623703,-0.8088043045665952,0.048,5.0,-3.232417097993163,-0.9285680372851925,-8.412422667974697,-0.8088043045665952,0.8886534691868792
18,262144,25,7,0.12,524313.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.03650200715,-219783.25208703685,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,21.0,1.0,-12.736895885549185,-inf,-11.193819860404604,0.24,6.0,-3.133273367229801,-0.10175426199604473,0.04268188040000001,5.0,-3.932601592813226,-1.6110822314268631,0.048,5.0,-4.009319993193838,-1.7290835132577316,-11.193819860404604,-1.6110822314268631,-0.10175426199604473
18,262144,26,8,0.12,524314.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-71920.17370729487,-219783.67129390096,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,18.0,1.0,-14.736893592559792,-inf,-13.720266080198137,0.24,6.0,-3.865221181632597,-0.9764599560682332,0.04268188040000001,5.0,-4.713645021601675,-2.391197146689892,0.048,5.0,-4.790363421993439,-2.5103536484070132,-13.720266080198137,-2.391197146689892,-0.9764599560682332
20,1048576,24,4,0.12,2097176.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.15701680054,-879136.2182575259,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,7.0,-2.227183147065718,-inf,0.8599503114309571,0.24,24.0,1.03379091463907,4.94908382507944,0.04268188040000001,5.0,-1.1077782786758554,1.5513408853769326,0.048,5.0,-1.1845010644339702,1.3838722512209185,0.8599503114309571,1.5513408853769326,4.94908382507944
20,1048576,25,5,0.12,2097177.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.29422110145,-879136.63746439,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,5.0,-7.356719475002203,-inf,-5.055595924861827,0.24,14.0,-0.9668389212958672,3.2521855515531968,0.04268188040000001,5.0,-1.909410959045525,0.5985285981346441,0.048,5.0,-1.9861337448043361,0.45124771580022766,-5.055595924861827,0.5985285981346441,3.2521855515531968
20,1048576,26,6,0.12,2097178.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.43142638914,-879137.0566712541,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,24.0,2.0,-10.717612171152044,-35.487156092127066,-8.59755559031215,0.24,7.0,-1.8325282526840816,1.8853818112615264,0.04268188040000001,5.0,-2.702521921327074,-0.27075625445662,0.048,5.0,-2.7792447070865816,-0.40756247541469665,-8.59755559031215,-0.27075625445662,1.8853818112615264
20,1048576,27,7,0.12,2097179.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.5686306901,-879137.4758781183,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,20.0,4.0,-12.66567628267691,-inf,-11.182768277059546,0.24,7.0,-2.5617406742116007,0.7592209942792894,0.04268188040000001,5.0,-3.495257611423873,-1.090527761652764,0.048,5.0,-3.5719803971840767,-1.2231421673191487,-11.182768277059546,-1.090527761652764,0.7592209942792894
20,1048576,28,8,0.12,2097180.0,-inf,0.0,-inf,-inf,-0.13720528772275742,0.5000032188136595,-287723.70583499095,-879137.8950849824,-inf,0.0,-inf,-inf,-inf,-inf,-inf,0.0,0.0,-inf,-inf,-inf,-inf,18.0,1.0,-14.736946332237896,-inf,-13.894951417458985,0.24,7.0,-3.275555895986315,-0.20490407962438487,0.04268188040000001,6.0,-4.260262074363654,-1.8817840760022713,0.048,5.0,-4.36812192153277,-2.0141570016343753,-13.894951417458985,-1.8817840760022713,-0.20490407962438487
