bucket,H,T_count,max_log2_minus_left,T_at_max,left_log2,max_log2,left_reproduction_delta
gap_4001_8000,54,4000,-2.93226776193e-10,9949,-98.687727992,-98.6877279923,-2.93226776193e-10
gap_8001_12000,54,4000,-1.34028255161e-09,13949,-125.015724396,-125.015724397,-1.34028255161e-09
gap_1_4000,55,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,55,4000,-9.91235538095e-10,9949,-99.4131520597,-99.4131520607,-9.91235538095e-10
gap_8001_12000,55,4000,-2.9906459531e-09,13949,-126.228721821,-126.228721824,-2.9906459531e-09
gap_1_4000,56,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,56,4000,-1.06187769688e-09,9949,-100.139036209,-100.13903621,-1.06187769688e-09
gap_8001_12000,56,4000,-2.17785611767e-09,13949,-127.442179979,-127.442179981,-2.17785611767e-09
gap_1_4000,57,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,57,4000,-2.39765540755e-10,9949,-100.865364433,-100.865364433,-2.39765540755e-10
gap_8001_12000,57,4000,-2.6476527637e-09,13949,-128.65608286,-128.656082862,-2.6476527637e-09
gap_1_4000,58,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,58,4000,-7.60152829571e-10,9949,-101.592121545,-101.592121546,-7.60152829571e-10
gap_8001_12000,58,4000,7.61417595641e-11,13949,-129.870415283,-129.870415283,7.61417595641e-11
gap_1_4000,59,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,59,4000,-5.83227688367e-10,9949,-102.319293126,-102.319293127,-5.83227688367e-10
gap_8001_12000,59,4000,-1.4686349914e-09,13949,-131.08516282,-131.085162821,-1.4686349914e-09
gap_1_4000,60,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,60,4000,-1.156550411e-09,9949,-103.046865471,-103.046865472,-1.156550411e-09
gap_8001_12000,60,4000,-1.88177295968e-09,13949,-132.300311772,-132.300311774,-1.88177295968e-09
gap_1_4000,61,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,61,4000,-1.48592960159e-09,9949,-103.774825544,-103.774825546,-1.48592960159e-09
gap_8001_12000,61,4000,-2.37861286223e-10,13949,-133.515849104,-133.515849105,-2.37861286223e-10
gap_1_4000,62,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,62,4000,6.628937399e-10,9949,-104.503160937,-104.503160936,6.628937399e-10
gap_8001_12000,62,4000,-1.05509911918e-09,13949,-134.731762401,-134.731762402,-1.05509911918e-09
gap_1_4000,63,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,63,4000,-8.7572971097e-10,9949,-105.231859819,-105.23185982,-8.7572971097e-10
gap_8001_12000,63,4000,-1.01840669231e-09,13949,-135.948039842,-135.948039843,-1.01840669231e-09
gap_1_4000,64,4000,0,5949,-20.0117348926,-20.0117348926,0
gap_4001_8000,64,4000,2.62630805992e-10,9949,-105.960910922,-105.960910922,2.62630805992e-10
gap_8001_12000,64,4000,-5.24011056768e-10,13949,-137.164670151,-137.164670152,-5.24011056768e-10
gap_1_4000,65,4000,3.5527136788e-15,5949,-20.0117348926,-20.0117348926,3.5527136788e-15
gap_4001_8000,65,4000,-1.29274724259e-09,9949,-106.690303484,-106.690303486,-1.29274724259e-09
