band0_weight,band1_weight,pair_count,denominator
12,35,45877104905750,48105632595272026320
12,36,10194897689168,10690140576727116960
12,37,1928767390520,2022459028029454560
12,38,304543510192,319335636004650720
12,39,39043218536,40940466154442400
12,40,3904189786,4094046615444240
12,41,285723983,299564386495920
12,42,13596775,14264970785520
12,43,315883,331743506640
13,0,712041,740043207120
13,1,30369483,31821857906160
13,2,637457903,668259016029360
13,3,8709849446,9132873219067920
13,4,87097577064,91328732190679200
13,5,679362751752,712364111087297760
13,6,4302634966632,4511639370219552480
13,7,22742488155424,23847236671160491680
13,8,102341178529842,107312565020222212560
13,9,397993811046593,417326641745308604400
13,10,1353178528328811,1418910581934049254960
13,11,4059535876639405,4256731745802147764880
13,12,10825428440701268,11351284655472394039680
13,13,25814483290837048,27068448024588016556160
13,14,55316751449956872,58003817195545749763200
13,15,106945717199328828,112140713244721782875520
13,16,187155008313119214,196246248178263120032160
13,17,297246188001727790,311685217694888484756960
13,18,429355598805615502,450211981114838922426720
13,19,564941584075524440,592384185677419634772000
13,20,677929901794154652,710861022812903561726400
13,21,742494651478057272,778562072604608662843200
13,22,742494652655238600,778562072604608662843200
13,23,677929900876327476,710861022812903561726400
13,24,564941584973424488,592384185677419634772000
13,25,429355601667595826,450211981114838922426720
13,26,297246185156382350,311685217694888484756960
13,27,187155006725827654,196246248178263120032160
13,28,106945718700278252,112140713244721782875520
13,29,55316751856143560,58003817195545749763200
13,30,25814483218537272,27068448024588016556160
13,31,10825428141322916,11351284655472394039680
13,32,4059535847909201,4256731745802147764880
13,33,1353178652565015,1418910581934049254960
13,34,397993761049571,417326641745308604400
13,35,102341175166714,107312565020222212560
13,36,22742497074364,23847236671160491680
13,37,4302643310272,4511639370219552480
13,38,679364924304,712364111087297760
13,39,87095615692,91328732190679200
13,40,8709958334,9132873219067920
13,41,637377789,668259016029360
13,42,30347943,31821857906160
13,43,704085,740043207120
14,0,1411053,1480086414240
14,1,60701030,63643715812320
14,2,1274590975,1336518032058720
14,3,17418589150,18265746438135840
14,4,174196769219,182657464381358400
14,5,1358727082672,1424728222174595520
14,6,8605262077901,9023278740439104960
14,7,45484965007161,47694473342320983360
14,8,204682596249162,214625130040444425120
14,9,795987647262055,834653283490617208800
14,10,2706356928782375,2837821163868098509920
14,11,8119070980631891,8513463491604295529760
14,12,21650857648799356,22702569310944788079360
14,13,51628967957528232,54136896049176033112320
14,14,110633501340974912,116007634391091499526400
14,15,213891435097081728,224281426489443565751040
14,16,374310012001744930,392492496356526240064320
14,17,594492373968460960,623370435389776969513920
14,18,858711205777652466,900423962229677844853440
14,19,1129883169570076552,1184768371354839269544000
14,20,1355859805397050354,1421722045625807123452800
14,21,1484989299793817272,1557124145209217325686400
14,22,1484989300446370098,1557124145209217325686400
14,23,1355859804531078002,1421722045625807123452800
14,24,1129883168801334932,1184768371354839269544000
14,25,858711203182456762,900423962229677844853440
14,26,594492369437145274,623370435389776969513920
14,27,374310015316314130,392492496356526240064320
14,28,213891439955509596,224281426489443565751040
14,29,110633500377106520,116007634391091499526400
14,30,51628966602793256,54136896049176033112320
14,31,21650857812349752,22702569310944788079360
14,32,8119071400301225,8513463491604295529760
14,33,2706356965211474,2837821163868098509920
14,34,795987323054047,834653283490617208800
14,35,204682470148578,214625130040444425120
14,36,45484990697715,47694473342320983360
14,37,8605279887384,9023278740439104960
14,38,1358728608281,1424728222174595520
14,39,174195668253,182657464381358400
14,40,17419846122,18265746438135840
14,41,1274619655,1336518032058720
14,42,60725711,63643715812320
14,43,1409747,1480086414240
15,0,2534941,2664155545632
15,1,109215342,114558688462176
15,2,2293999799,2405732457705696
15,3,31354844230,32878343588644512
15,4,313552607231,328783435886445120
15,5,2445708534508,2564510799914271936
15,6,15489498583173,16241901732790388928
15,7,81873010962149,85850052016177770048
15,8,368428552986010,386325234072799965216
15,9,1432777092063907,1502375910283110975840
15,10,4871442634693611,5108078094962577317856
15,11,14614328490696719,15324234284887731953568
15,12,38971544286815660,40864624759700618542848
15,13,92932141198096728,97446412888516859602176
15,14,199140300692291616,208813741903964699147520
15,15,385004589243514000,403706567680998418351872
15,16,673758020301759218,706486493441747232115776
15,17,1070086264635713680,1122066783701598545125056
15,18,1545680180645539138,1620763132013420120736192
15,19,2033789708759272088,2132583068438710685179200
15,20,2440547636746420122,2559099682126452822215040
15,21,2672980738486609120,2802823461376591186235520
15,22,2672980746024021282,2802823461376591186235520
15,23,2440547647144700506,2559099682126452822215040
15,24,2033789701232166340,2132583068438710685179200
15,25,1545680170724205906,1620763132013420120736192
15,26,1070086271821367970,1122066783701598545125056
15,27,673758025255822090,706486493441747232115776
15,28,385004586275092620,403706567680998418351872
15,29,199140299674733320,208813741903964699147520
15,30,92932141251737544,97446412888516859602176
15,31,38971544066665864,40864624759700618542848
15,32,14614328373928105,15324234284887731953568
15,33,4871442837951802,5108078094962577317856
15,34,1432777341864823,1502375910283110975840
15,35,368428547246282,386325234072799965216
15,36,81872968021167,85850052016177770048
15,37,15489474122324,16241901732790388928
15,38,2445705333233,2564510799914271936
15,39,313555012905,328783435886445120
15,40,31355461738,32878343588644512
15,41,2293955923,2405732457705696
15,42,109254787,114558688462176
15,43,2540735,2664155545632
16,0,4121205,4329252761652
16,1,177508956,186157868751036
16,2,3727876674,3909315243771756
16,3,50952716882,53427308331547332
16,4,509520265364,534273083315473320
16,5,3974282119669,4167330049860691896
16,6,25170443849459,26393090315784382008
16,7,133043596611944,139506334526288876328
16,8,598695988273074,627778505368299943476
16,9,2328262952734617,2441360854210055335740
16,10,7916094995558149,8300626904314188141516
16,11,23748284641819799,24901880712942564424548
16,12,63328756971263170,66405015234513505132128
16,13,151014728665602560,158350420943839896853536
16,14,323602992235362378,339322330593942636114720
16,15,625632451738370526,656023172481622429821792
16,16,1094856788509473804,1148040551842839252188136
16,17,1738890192477568830,1823358523515097635828216
16,18,2511730287626579788,2633740089521807696196312
16,19,3304908260841503588,3465447486212904863416200
16,20,3965889892433575814,4158536983455485836099440
16,21,4343593720735741002,4554588124736960677632720
16,22,4343593737211506904,4554588124736960677632720
16,23,3965889911338067558,4158536983455485836099440
16,24,3304908252426358778,3465447486212904863416200
16,25,2511730280225578824,2633740089521807696196312
16,26,1738890201891235306,1823358523515097635828216
16,27,1094856789368766030,1148040551842839252188136
16,28,625632443849593806,656023172481622429821792
16,29,323602991026422760,339322330593942636114720
16,30,151014730920107862,158350420943839896853536
16,31,63328757497557322,66405015234513505132128
16,32,23748284276282119,24901880712942564424548
16,33,7916094752252598,8300626904314188141516
16,34,2328263106323770,2441360854210055335740
16,35,598696307519922,627778505368299943476
16,36,133043668109334,139506334526288876328
16,37,25170373097689,26393090315784382008
16,38,3974272994453,4167330049860691896
16,39,509524310410,534273083315473320
16,40,50951847436,53427308331547332
16,41,3728017359,3909315243771756
16,42,177471561,186157868751036
16,43,4141363,4329252761652
17,0,6064769,6366548178900
17,1,261169350,273761571692700
17,2,5482747054,5748993005546700
17,3,74930599068,78569571075804900
17,4,749296884260,785695710758049000
17,5,5844528279637,6128426543912782200
17,6,37015290024823,38813368111447620600
17,7,195652357820276,205156374303365994600
17,8,880435452738056,923203684365146975700
17,9,3423916545001325,3590236550308904905500
17,10,11641316490758831,12206804271050276678700
17,11,34923947666908991,36620412813150830036100
17,12,93130523243983194,97654434168402213429600
17,13,222080484840001780,232868266093882201255200
17,14,475886756383608150,499003427344033288404000
17,15,920047713183895958,964739959531797690914400
17,16,1610083513237588084,1688294929180645959100200
17,17,2557191477987258266,2681409593404555346806200
17,18,3693720994311700204,3873147190473246612053400
17,19,4860159185646840200,5096246303254271857965000
17,20,5832191050425003070,6115495563905126229558000
17,21,6387637850302424486,6697923712848471584754000
17,22,6387637822643165732,6697923712848471584754000
17,23,5832191025026733846,6115495563905126229558000
17,24,4860159207470002950,5096246303254271857965000
17,25,3693721008478414608,3873147190473246612053400
17,26,2557191465014409950,2681409593404555346806200
17,27,1610083509091749710,1688294929180645959100200
17,28,920047716433988310,964739959531797690914400
17,29,475886755763487508,499003427344033288404000
17,30,222080486106582090,232868266093882201255200
17,31,93130525354048786,97654434168402213429600
17,32,34923947218949155,36620412813150830036100
17,33,11641315292354096,12206804271050276678700
17,34,3423916321377070,3590236550308904905500
17,35,880435592256052,923203684365146975700
17,36,195652411365678,205156374303365994600
17,37,37015317853053,38813368111447620600
17,38,5844521855045,6128426543912782200
17,39,749296799822,785695710758049000
17,40,74929086490,78569571075804900
17,41,5483007347,5748993005546700
17,42,261102635,273761571692700
17,43,6081435,6366548178900
18,0,8094433,8488730905200
18,1,348102702,365015428923600
18,2,7311232930,7665324007395600
18,3,99908110072,104759428101073200
18,4,999065860795,1047594281010732000
18,5,7792682098483,8171235391883709600
18,6,49353698732070,51751157481930160800
18,7,260869904278071,273541832404487992800
18,8,1173914479717078,1230938245820195967600
18,9,4565221742065574,4786982067078539874000
18,10,15521754278576391,16275739028067035571600
18,11,46565262822229359,48827217084201106714800
18,12,124174034490870928,130205912224536284572800
18,13,296107312527441900,310491021458509601673600
18,14,634515668991459366,665337903125377717872000
18,15,1226730294763723218,1286319946042396921219200
18,16,2146778018332867716,2251059905574194612133600
18,17,3409588618641837128,3575212791206073795741600
18,18,4924961315478944514,5164196253964328816071200
18,19,6480212273118410528,6794995071005695810620000
18,20,7776254777042852338,8153994085206834972744000
18,21,8516850427035046122,8930564950464628779672000
18,22,8516850385601571370,8930564950464628779672000
18,23,7776254734989728700,8153994085206834972744000
18,24,6480212295385540522,6794995071005695810620000
18,25,4924961334906185416,5164196253964328816071200
18,26,3409588605711814028,3575212791206073795741600
18,27,2146778012093899570,2251059905574194612133600
18,28,1226730302527116864,1286319946042396921219200
18,29,634515673203909692,665337903125377717872000
18,30,296107311108733666,310491021458509601673600
18,31,124174033104279830,130205912224536284572800
18,32,46565262407319299,48827217084201106714800
18,33,15521754546109818,16275739028067035571600
18,34,4565222004179612,4786982067078539874000
18,35,1173914079256488,1230938245820195967600
18,36,260869736507331,273541832404487992800
18,37,49353806192571,51751157481930160800
18,38,7792686721064,8171235391883709600
18,39,999062350181,1047594281010732000
18,40,99907141592,104759428101073200
18,41,7310652322,7665324007395600
18,42,348126893,365015428923600
18,43,8073055,8488730905200
19,0,9808637,10275832148400
19,1,421243754,441860782381200
19,2,8849564926,9279076430005200
19,3,120938899856,126814044543404400
19,4,1209395124335,1268140445434044000
19,5,9433245867219,9891495474385543200
19,6,59744036166402,62646138004441773600
19,7,315789764643051,331129586594906517600
