band0_weight,band1_weight,count
17,14,7870434742600686
17,15,15216173751925264
17,16,26628304158064286
17,17,42292012732460532
17,18,61088463189391474
17,19,80379556122055672
17,20,96455466378637000
17,21,105641702258057828
17,22,105641703298109912
17,23,96455467491068480
17,24,80379555622309930
17,25,61088462753443876
17,26,42292013016325682
17,27,26628304142606470
17,28,15216173614390170
17,29,7870434784611006
17,30,3672869594673162
17,31,1540235603711704
17,32,577588360003581
17,33,192529460369475
17,34,56626311781409
17,35,14561050996221
17,36,3235790743059
17,37,612176243161
17,38,96659121417
17,39,12392234578
17,40,1239221063
17,41,90672809
17,42,4317819
17,43,100446
18,0,145355
18,1,6237125
18,2,130987340
18,3,1790047031
18,4,17899940782
18,5,139618750813
18,6,884254199885
18,7,4673917530071
18,8,21032629728100
18,9,81793567739593
18,10,278098099603572
18,11,834294292614123
18,12,2224784783418832
18,13,5305256024773506
18,14,11368405742114950
18,15,21978917572409296
18,16,38463106127856806
18,17,61088463314010460
18,18,88238890605749284
18,19,116103802272390662
18,20,139324563805870972
18,21,152593571373251604
18,22,152593570393540920
18,23,139324563014958730
18,24,116103803170352264
18,25,88238891047347948
18,26,61088462635524068
18,27,38463105862351074
18,28,21978917869459648
18,29,11368405875532926
18,30,5305256003268826
18,31,2224784787403888
18,32,834294290008535
18,33,278098078744951
18,34,81793556206064
18,35,21032630435835
18,36,4673918169542
18,37,884254112911
18,38,139619301915
18,39,17899882399
18,40,1789968972
18,41,130984371
18,42,6238024
18,43,145339
19,0,191040
19,1,8203164
19,2,172343325
19,3,2355297306
19,4,23552490753
19,5,183709292074
19,6,1163493223416
19,7,6149891240864
19,8,27674519011295
19,9,107623109904566
19,10,365918546785561
19,11,1097755666196550
19,12,2927348392840268
19,13,6980599920645842
19,14,14958428577697440
19,15,28919628808607892
19,16,50609350403583830
19,17,80379556104774264
19,18,116103802506597434
19,19,152768162159569598
19,20,183321796325891102
19,21,200781013606113362
19,22,200781011713512128
19,23,183321794490328388
19,24,152768163328510884
19,25,116103803347088224
19,26,80379555476863786
19,27,50609350230117590
19,28,28919629006321292
19,29,14958428624173758
19,30,6980599983390784
19,31,2927348387309676
19,32,1097755637211722
19,33,365918553429716
19,34,107623099661193
19,35,27674508858640
19,36,6149890312713
19,37,1163493408052
19,38,183709662824
19,39,23552453788
19,40,2355237533
19,41,172341698
19,42,8205277
19,43,190588
20,0,228380
20,1,9845597
20,2,206800692
20,3,2826214827
20,4,28262888558
20,5,220451563664
20,6,1396191825055
20,7,7379871682674
20,8,33209411558502
20,9,129147705498437
20,10,439102271516995
20,11,1317306792368711
20,12,3512818049856270
20,13,8376719985391906
20,14,17950114362019044
20,15,34703554760626146
20,16,60731220257811550
20,17,96455466452973748
20,18,139324563906608652
20,19,183321796302668912
20,20,219986153821187074
20,21,240937214010876786
20,22,240937215780711090
20,23,219986155285380014
20,24,183321794817756074
20,25,139324563172800332
20,26,96455467470334474
20,27,60731220593321944
20,28,34703554340710650
20,29,17950114194807990
20,30,8376720016593556
20,31,3512818059131030
20,32,1317306786367950
20,33,439102290030119
20,34,129147728630744
20,35,33209412011373
20,36,7379868493576
20,37,1396192257574
20,38,220451396791
20,39,28262974696
20,40,2826314280
20,41,206799671
20,42,9844763
20,43,228569
21,0,251171
21,1,10789726
21,2,226487643
21,3,3095427703
21,4,30954771411
21,5,241446609061
21,6,1529161598634
21,7,8082716235865
21,8,36372214579913
21,9,141447498395558
21,10,480921504451382
21,11,1442764551606273
21,12,3847372191100680
21,13,9174502962220092
21,14,19659649165188476
21,15,38008654782521950
21,16,66515145584279812
21,17,105641702306663822
21,18,152593571042423272
21,19,200781013445188594
21,20,240937214152988754
21,21,263883617237522778
21,22,263883619482610020
21,23,240937216136582596
21,24,200781011779770860
21,25,152593570085604898
21,26,105641703316362250
21,27,66515145912582354
21,28,38008654425373336
21,29,19659649016938148
21,30,9174502938102940
21,31,3847372216230170
21,32,1442764563843017
21,33,480921504980132
21,34,141447520417653
21,35,36372221350831
21,36,8082713319419
21,37,1529161855969
21,38,241446605594
21,39,30954781995
21,40,3095517083
21,41,226491368
21,42,10788040
21,43,251477
22,0,251477
22,1,10788040
22,2,226491368
22,3,3095517083
22,4,30954781995
22,5,241446605594
22,6,1529161855969
22,7,8082713319419
22,8,36372221350831
22,9,141447520417653
22,10,480921504980132
22,11,1442764563843017
22,12,3847372216230170
22,13,9174502938102940
22,14,19659649016938148
22,15,38008654425373336
22,16,66515145912582354
22,17,105641703316362250
22,18,152593570085604898
22,19,200781011779770860
22,20,240937216136582596
22,21,263883619482610020
22,22,263883617237522778
22,23,240937214152988754
22,24,200781013445188594
22,25,152593571042423272
22,26,105641702306663822
22,27,66515145584279812
22,28,38008654782521950
22,29,19659649165188476
22,30,9174502962220092
22,31,3847372191100680
22,32,1442764551606273
22,33,480921504451382
22,34,141447498395558
22,35,36372214579913
22,36,8082716235865
22,37,1529161598634
22,38,241446609061
22,39,30954771411
22,40,3095427703
22,41,226487643
22,42,10789726
22,43,251171
23,0,228569
23,1,9844763
23,2,206799671
23,3,2826314280
23,4,28262974696
23,5,220451396791
23,6,1396192257574
23,7,7379868493576
23,8,33209412011373
23,9,129147728630744
23,10,439102290030119
23,11,1317306786367950
23,12,3512818059131030
23,13,8376720016593556
23,14,17950114194807990
23,15,34703554340710650
23,16,60731220593321944
23,17,96455467470334474
23,18,139324563172800332
23,19,183321794817756074
23,20,219986155285380014
23,21,240937215780711090
23,22,240937214010876786
23,23,219986153821187074
23,24,183321796302668912
23,25,139324563906608652
23,26,96455466452973748
23,27,60731220257811550
23,28,34703554760626146
23,29,17950114362019044
23,30,8376719985391906
23,31,3512818049856270
23,32,1317306792368711
23,33,439102271516995
23,34,129147705498437
23,35,33209411558502
23,36,7379871682674
23,37,1396191825055
23,38,220451563664
23,39,28262888558
23,40,2826214827
23,41,206800692
23,42,9845597
23,43,228380
24,0,190588
24,1,8205277
24,2,172341698
24,3,2355237533
24,4,23552453788
24,5,183709662824
24,6,1163493408052
24,7,6149890312713
24,8,27674508858640
24,9,107623099661193
24,10,365918553429716
24,11,1097755637211722
24,12,2927348387309676
24,13,6980599983390784
24,14,14958428624173758
24,15,28919629006321292
24,16,50609350230117590
24,17,80379555476863786
24,18,116103803347088224
24,19,152768163328510884
24,20,183321794490328388
24,21,200781011713512128
24,22,200781013606113362
24,23,183321796325891102
24,24,152768162159569598
24,25,116103802506597434
24,26,80379556104774264
24,27,50609350403583830
24,28,28919628808607892
24,29,14958428577697440
24,30,6980599920645842
24,31,2927348392840268
24,32,1097755666196550
24,33,365918546785561
24,34,107623109904566
24,35,27674519011295
24,36,6149891240864
24,37,1163493223416
24,38,183709292074
24,39,23552490753
24,40,2355297306
24,41,172343325
24,42,8203164
24,43,191040
25,0,145339
25,1,6238024
25,2,130984371
25,3,1789968972
25,4,17899882399
25,5,139619301915
25,6,884254112911
25,7,4673918169542
25,8,21032630435835
25,9,81793556206064
25,10,278098078744951
25,11,834294290008535
25,12,2224784787403888
25,13,5305256003268826
25,14,11368405875532926
25,15,21978917869459648
25,16,38463105862351074
25,17,61088462635524068
25,18,88238891047347948
25,19,116103803170352264
25,20,139324563014958730
25,21,152593570393540920
25,22,152593571373251604
25,23,139324563805870972
25,24,116103802272390662
25,25,88238890605749284
25,26,61088463314010460
25,27,38463106127856806
25,28,21978917572409296
25,29,11368405742114950
25,30,5305256024773506
25,31,2224784783418832
25,32,834294292614123
25,33,278098099603572
25,34,81793567739593
25,35,21032629728100
25,36,4673917530071
25,37,884254199885
25,38,139618750813
25,39,17899940782
25,40,1790047031
25,41,130987340
25,42,6237125
25,43,145355
26,0,100446
26,1,4317819
26,2,90672809
26,3,1239221063
26,4,12392234578
26,5,96659121417
26,6,612176243161
26,7,3235790743059
26,8,14561050996221
26,9,56626311781409
26,10,192529460369475
26,11,577588360003581
26,12,1540235603711704
26,13,3672869594673162
