series,outer_model,block_bits,dimension,message_exponent,message_bits,output_bits,outer_rows,bad_weight,step_bits,state_bits,epochs_per_region,margin_bits,dominant_weight,dominant_log_surprisal,dominant_witness_at_grid_edge,a_minimum_distance,kernel_minimum_distance,kernel_weight_four,map_tag,map_source,notes
"random full-rank [64,32] reused",random-ensemble-average,64,32,16,65536,131072,2048,13107,64,18,32,5.45519992266567,7,-7.2,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,16,65536,131072,1024,13107,64,18,16,25.115953762528978,13,-6.6,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,16,65536,131072,256,13107,64,18,4,140.85805219440104,51,-5.2,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,20,1048576,2097152,262144,209715,64,18,4096,0.7824169983016037,4,-9.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,20,1048576,2097152,65536,209715,64,18,1024,3.989606337190835,8,-8.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,20,1048576,2097152,16384,209715,64,18,256,32.6689720543209,22,-8.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,20,1048576,2097152,32768,209715,64,18,512,10.316104280788128,12,-8.9,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,20,1048576,2097152,262144,209715,64,18,4096,0.7824169983016037,4,-9.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,20,1048576,2097152,65536,209715,64,18,1024,3.989606337190835,8,-8.7,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,20,1048576,2097152,16384,209715,64,18,256,10.561346749254687,16,-9.1,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,20,1048576,2097152,4096,209715,64,18,64,39.136977204358836,32,-8.6,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,20,1048576,2097152,32768,209715,64,18,512,1.4570926195276446,7,-10.0,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [128,64] reused",random-ensemble-average,128,64,20,1048576,2097152,16384,209715,64,18,256,21.148250032803052,13,-9.4,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [512,256] reused",random-ensemble-average,512,256,20,1048576,2097152,4096,209715,64,18,64,137.1938708738747,53,-8.0,0,16,6,0,nested-585ae2dafa3c09f1,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s18.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [8,4,4] exact",fixed,8,4,16,65536,131072,16384,13107,64,20,256,6.449592059932114,4,-6.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [32,16,8] exact",fixed,32,16,16,65536,131072,4096,13107,64,20,64,8.802647916984132,8,-5.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"extended BCH [128,64,22] exact",fixed,128,64,16,65536,131072,1024,13107,64,20,16,36.53467288084165,22,-5.7,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"Philips shortened-XBCH [64,32,12] exact",fixed,64,32,16,65536,131072,2048,13107,64,20,32,14.257651547005299,12,-6.1,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(1,3) [8,4,4] exact",fixed,8,4,16,65536,131072,16384,13107,64,20,256,6.449592059932114,4,-6.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(2,5) [32,16,8] exact",fixed,32,16,16,65536,131072,4096,13107,64,20,64,8.802647916984132,8,-5.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(3,7) [128,64,16] exact",fixed,128,64,16,65536,131072,1024,13107,64,20,16,14.526576167363675,16,-6.3,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"RM(4,9) [512,256,32] exact",fixed,512,256,16,65536,131072,256,13107,64,20,4,42.997106410111336,32,-5.8,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
"random full-rank [64,32] reused",random-ensemble-average,64,32,16,65536,131072,2048,13107,64,20,32,5.458709440699608,7,-7.2,0,16,6,0,nested-39ca968752438628,workstreams/finite_asymptotic_theory/landscape_db/activation_pilot_v1/maps/t64_s20.json,Activation-aware Q1 only; unselected nested chain; nearest binary64; no full-distance claim.
